geo,cause,value,year,sex,rank,longitude,latitude,ISO,COUNTRYAFF,AFF_ISO
Iceland,cancer,225.5,2020.0,T,first,-19.05682967106099,65.12360920205514,IS,Iceland,IS
Iceland,nervous_sys,95.02,2020.0,T,second,-19.05682967106099,65.12360920205514,IS,Iceland,IS
Iceland,ischaemic,71.41,2020.0,T,third,-19.05682967106099,65.12360920205514,IS,Iceland,IS
Hungary,cancer,321.36,2020.0,T,first,19.39620048366142,47.22527332486294,HU,Hungary,HU
Hungary,ischaemic,298.9,2020.0,T,second,19.39620048366142,47.22527332486294,HU,Hungary,HU
Hungary,diabetes,39.89,2020.0,T,third,19.39620048366142,47.22527332486294,HU,Hungary,HU
Greece,cancer,241.8,2020.0,T,first,23.110368936161876,39.42012261727978,GR,Greece,GR
Greece,ischaemic,55.2,2020.0,T,second,23.110368936161876,39.42012261727978,GR,Greece,GR
Greece,nervous_sys,31.18,2020.0,T,third,23.110368936161876,39.42012261727978,GR,Greece,GR
Germany,cancer,240.79,2020.0,T,first,10.426171427430804,51.08304539800482,DE,Germany,DE
Germany,ischaemic,79.84,2020.0,T,second,10.426171427430804,51.08304539800482,DE,Germany,DE
Germany,nervous_sys,36.08,2020.0,T,third,10.426171427430804,51.08304539800482,DE,Germany,DE
France,cancer,227.05,2020.0,T,first,2.1940236627886227,46.6423682169416,FR,France,FR
France,nervous_sys,48.02,2020.0,T,second,2.1940236627886227,46.6423682169416,FR,France,FR
France,accident,35.97,2020.0,T,third,2.1940236627886227,46.6423682169416,FR,France,FR
Finland,cancer,211.7,2020.0,T,first,25.65738433454702,65.01578959749911,FI,Finland,FI
Finland,nervous_sys,176.77,2020.0,T,second,25.65738433454702,65.01578959749911,FI,Finland,FI
Finland,ischaemic,106.75,2020.0,T,third,25.65738433454702,65.01578959749911,FI,Finland,FI
Estonia,cancer,265.32,2020.0,T,first,25.916870250633806,58.648108311231034,EE,Estonia,EE
Estonia,ischaemic,121.52,2020.0,T,second,25.916870250633806,58.648108311231034,EE,Estonia,EE
Estonia,accident,45.4,2020.0,T,third,25.916870250633806,58.648108311231034,EE,Estonia,EE
Denmark,cancer,271.73,2020.0,T,first,9.378670542409406,56.00118817971057,DK,Denmark,DK
Denmark,nervous_sys,50.02,2020.0,T,second,9.378670542409406,56.00118817971057,DK,Denmark,DK
Denmark,ischaemic,39.83,2020.0,T,third,9.378670542409406,56.00118817971057,DK,Denmark,DK
Czechia,cancer,267.47,2020.0,T,first,,,,,
Czechia,ischaemic,224.4,2020.0,T,second,,,,,
Czechia,diabetes,52.45,2020.0,T,third,,,,,
Cyprus,cancer,205.92,2020.0,T,first,33.375346009199205,35.11700416345239,CY,Cyprus,CY
Cyprus,diabetes,60.29,2020.0,T,second,33.375346009199205,35.11700416345239,CY,Cyprus,CY
Cyprus,ischaemic,50.05,2020.0,T,third,33.375346009199205,35.11700416345239,CY,Cyprus,CY
Croatia,cancer,304.0,2020.0,T,first,16.625761129583374,44.91192100856702,HR,Croatia,HR
Croatia,ischaemic,131.34,2020.0,T,second,16.625761129583374,44.91192100856702,HR,Croatia,HR
Croatia,diabetes,112.62,2020.0,T,third,16.625761129583374,44.91192100856702,HR,Croatia,HR
Bulgaria,cancer,245.52,2020.0,T,first,25.251739122561908,42.82043677302438,BG,Bulgaria,BG
Bulgaria,ischaemic,148.2,2020.0,T,second,25.251739122561908,42.82043677302438,BG,Bulgaria,BG
Bulgaria,pneumonia,41.31,2020.0,T,third,25.251739122561908,42.82043677302438,BG,Bulgaria,BG
Belgium,cancer,223.57,2020.0,T,first,4.675010154696485,50.6182138854095,BE,Belgium,BE
Belgium,nervous_sys,46.6,2020.0,T,second,4.675010154696485,50.6182138854095,BE,Belgium,BE
Belgium,accident,36.63,2020.0,T,third,4.675010154696485,50.6182138854095,BE,Belgium,BE
Austria,cancer,230.98,2020.0,T,first,13.797778364631036,47.631858269895794,AT,Austria,AT
Austria,ischaemic,99.11,2020.0,T,second,13.797778364631036,47.631858269895794,AT,Austria,AT
Austria,nervous_sys,37.78,2020.0,T,third,13.797778364631036,47.631858269895794,AT,Austria,AT
