IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,DNK,Denmark,Year,2019,True,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.73,,,,,,6.73,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,MKD,Macedonia,Year,2019,True,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.76,,,,,,6.76,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,MLT,Malta,Year,2019,True,Sex,Both sexes,BTSX,Age Group,55-64 years,YEARS55-64,,,,,,,6.79,,,,,,6.79,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,BEL,Belgium,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,6.83,,,,,,6.83,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,HRV,Croatia,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.83,,,,,,6.83,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,NOR,Norway,Year,2019,True,Sex,Female,FMLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.83,,,,,,6.83,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GBR,United Kingdom,Year,2019,True,Sex,Both sexes,BTSX,Age Group,65-74 years,YEARS65-74,,,,,,,6.83,,,,,,6.83,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CHE,Switzerland,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.84,,,,,,6.84,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,6.86,,,,,,6.86,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,EST,Estonia,Year,2019,True,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,6.86,,,,,,6.86,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ROU,Romania,Year,2019,True,Sex,Female,FMLE,Age Group,75-84 years,YEARS75-84,,,,,,,6.87,,,,,,6.87,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SVK,Slovakia,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,6.87,,,,,,6.87,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,True,Sex,Male,MLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.91,,,,,,6.91,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,HUN,Hungary,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,6.94,,,,,,6.94,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GBR,United Kingdom,Year,2019,True,Sex,Both sexes,BTSX,Age Group,75-84 years,YEARS75-84,,,,,,,6.99,,,,,,6.99,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,BEL,Belgium,Year,2019,True,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,60.78,,,,,,60.78,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SRB,Republic of Serbia,Year,2019,True,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,61.37,,,,,,61.37,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,AUT,Austria,Year,2019,True,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,61.86,,,,,,61.86,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,HRV,Croatia,Year,2019,True,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,62.22,,,,,,62.22,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,MNE,Montenegro,Year,2019,True,Sex,Male,MLE,Age Group,65-74 years,YEARS65-74,,,,,,,63.92,,,,,,63.92,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,True,Sex,Male,MLE,Age Group,55-64 years,YEARS55-64,,,,,,,65.71,,,,,,65.71,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SVK,Slovakia,Year,2019,True,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,67.98,,,,,,67.98,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,HRV,Croatia,Year,2019,True,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,69.06,,,,,,69.06,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GBR,United Kingdom,Year,2019,True,Sex,Male,MLE,Age Group,15-24 years,YEARS15-24,,,,,,,7.0,,,,,,7.0,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,IRL,Ireland,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,7.01,,,,,,7.01,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LVA,Latvia,Year,2019,True,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,7.03,,,,,,7.03,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LUX,Luxembourg,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.03,,,,,,7.03,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,MKD,Macedonia,Year,2019,True,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.03,,,,,,7.03,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,AUT,Austria,Year,2019,True,Sex,Female,FMLE,Age Group,65-74 years,YEARS65-74,,,,,,,7.04,,,,,,7.04,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,MLT,Malta,Year,2019,True,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.05,,,,,,7.05,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GBR,United Kingdom,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,7.07,,,,,,7.07,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,FIN,Finland,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.09,,,,,,7.09,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LVA,Latvia,Year,2019,True,Sex,Female,FMLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.1,,,,,,7.1,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,True,Sex,Female,FMLE,Age Group,85+ years,YEARS85PLUS,,,,,,,7.13,,,,,,7.13,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ESP,Spain,Year,2019,True,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.18,,,,,,7.18,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,True,Sex,Female,FMLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.21,,,,,,7.21,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SRB,Republic of Serbia,Year,2019,True,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,7.23,,,,,,7.23,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,PRT,Portugal,Year,2019,True,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,7.24,,,,,,7.24,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.25,,,,,,7.25,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,BGR,Bulgaria,Year,2019,True,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.31,,,,,,7.31,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ESP,Spain,Year,2019,True,Sex,Female,FMLE,Age Group,75-84 years,YEARS75-84,,,,,,,7.37,,,,,,7.37,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SWE,Sweden,Year,2019,True,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,7.37,,,,,,7.37,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GRC,Greece,Year,2019,True,Sex,Both sexes,BTSX,Age Group,75-84 years,YEARS75-84,,,,,,,7.4,,,,,,7.4,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ESP,Spain,Year,2019,True,Sex,Male,MLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.44,,,,,,7.44,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ITA,Italy,Year,2019,True,Sex,Both sexes,BTSX,Age Group,45-54 years,YEARS45-54,,,,,,,7.45,,,,,,7.45,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CZE,Czech Republic,Year,2019,True,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,7.46,,,,,,7.46,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,True,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,7.46,,,,,,7.46,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,NLD,Netherlands,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.53,,,,,,7.53,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,IRL,Ireland,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,7.55,,,,,,7.55,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,PRT,Portugal,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,7.55,,,,,,7.55,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GRC,Greece,Year,2019,True,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,7.58,,,,,,7.58,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,NOR,Norway,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.59,,,,,,7.59,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,AUT,Austria,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.61,,,,,,7.61,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2019,True,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.64,,,,,,7.64,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ROU,Romania,Year,2019,True,Sex,Male,MLE,Age Group,15-24 years,YEARS15-24,,,,,,,7.64,,,,,,7.64,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,7.67,,,,,,7.67,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,True,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.69,,,,,,7.69,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,EST,Estonia,Year,2019,True,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,7.72,,,,,,7.72,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,NOR,Norway,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,7.74,,,,,,7.74,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,AUT,Austria,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,7.77,,,,,,7.77,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,DEU,Germany,Year,2019,True,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.78,,,,,,7.78,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,True,Sex,Male,MLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,7.81,,,,,,7.81,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GRC,Greece,Year,2019,True,Sex,Both sexes,BTSX,Age Group,45-54 years,YEARS45-54,,,,,,,7.82,,,,,,7.82,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CHE,Switzerland,Year,2019,True,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,7.83,,,,,,7.83,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,DEU,Germany,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,7.85,,,,,,7.85,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ALB,Albania,Year,2019,True,Sex,Male,MLE,Age Group,55-64 years,YEARS55-64,,,,,,,7.89,,,,,,7.89,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ISL,Iceland,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,7.89,,,,,,7.89,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,PRT,Portugal,Year,2019,True,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,70.76,,,,,,70.76,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CHE,Switzerland,Year,2019,True,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,72.12,,,,,,72.12,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,True,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,72.64,,,,,,72.64,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,HUN,Hungary,Year,2019,True,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,74.99,,,,,,74.99,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,BGR,Bulgaria,Year,2019,True,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,75.38,,,,,,75.38,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,True,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,76.4,,,,,,76.4,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,True,Sex,Male,MLE,Age Group,65-74 years,YEARS65-74,,,,,,,76.86,,,,,,76.86,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,DEU,Germany,Year,2019,True,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,79.37,,,,,,79.37,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,PRT,Portugal,Year,2019,True,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,8.0,,,,,,8.0,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GBR,United Kingdom,Year,2019,True,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,8.03,,,,,,8.03,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,GRC,Greece,Year,2019,True,Sex,Both sexes,BTSX,Age Group,55-64 years,YEARS55-64,,,,,,,8.07,,,,,,8.07,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CZE,Czech Republic,Year,2019,True,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,8.09,,,,,,8.09,,,EN,2021-07-05T23:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,FRA,France,Year,2019,True,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,8.11,,,,,,8.11,,,EN,2021-07-05T23:00:00.000Z
